Date,NVDA,SPY
2025-08-19,175.63009643554688,639.8099975585938
2025-08-20,175.39010620117188,638.1099853515625
2025-08-21,174.97012329101562,635.5499877929688
2025-08-22,177.97996520996094,645.3099975585938
2025-08-25,179.79986572265625,642.469970703125
2025-08-26,181.75975036621094,645.1599731445312
2025-08-27,181.5897674560547,646.6300048828125
2025-08-28,180.1598358154297,648.9199829101562
2025-08-29,174.170166015625,645.0499877929688
2025-09-02,170.77037048339844,640.27001953125
2025-09-03,170.61038208007812,643.739990234375
2025-09-04,171.65032958984375,649.1199951171875
2025-09-05,167.01058959960938,647.239990234375
2025-09-08,168.30050659179688,648.8300170898438
2025-09-09,170.7503662109375,650.3300170898438
2025-09-10,177.32000732421875,652.2100219726562
2025-09-11,177.1699981689453,657.6300048828125
2025-09-12,177.82000732421875,657.4099731445312
2025-09-15,177.75,660.9099731445312
2025-09-16,174.8800048828125,660.0
2025-09-17,170.2899932861328,659.1799926757812
2025-09-18,176.24000549316406,662.260009765625
2025-09-19,176.3800048828125,661.8101196289062
